make,model,make_model_risk
288 GT REPLICA,288 GTO,0.0
ABARTH,124 GT MULTIAIR,0.0
ABARTH,124 GT MULTIAIR AUTO,0.0
ABARTH,124 SPIDER MULTIAIR,0.0
ABARTH,124 SPIDER MULTIAIR AUTO,0.03636363636363636
ABARTH,124 SPIDER SCORPIONE MULTIAIR,0.0
ABARTH,500,0.23707664884135474
ABARTH,595,0.14841849148418493
ABARTH,595 MONSTER YAMAHA,0.16666666666666666
ABARTH,595 PISTA 70TH ANNIVERSARY,0.09375
ABARTH,595 SCORPIONEORO,0.1111111111111111
ABARTH,595C,0.18181818181818182
ABARTH,595C PISTA 70TH ANNIVERSARY,0.0
ABARTH,695,0.17647058823529413
ABARTH,695 70TH ANNIVERSARY,0.0
ABARTH,695 ANNIVERSARIO,0.0
ABARTH,F595C S-A,0.0
ABARTH,FIAT,0.0
ABARTH,GRAND PUNTO,0.5
ABARTH,PUNTO,0.125
ABARTH,UNCLASSIFIED,0.0
AC,AC ACE,0.0
AC,COBRA,0.0
ACCESSIBLE BERLINGO,UNCLASSIFIED,0.5
ACTROS,UNCLASSIFIED,0.0
ADRIA,SONIC SUPREME 810 SL AUTO,0.0
ADRIA,SONIC SUPREME I 710 SL,0.0
ADRIA,UNCLASSIFIED,0.05263157894736842
ADRIA COMPACT SP,UNCLASSIFIED,0.0
AEON,COBRA,0.0
AEROCYCLE MERLIN MG3,UNCLASSIFIED,0.0
AIXAM,500 EVOLUTION,0.0
AIXAM,500.5 SUPER LUXE,0.0
AIXAM,A751 SUPER LUXE,0.0
AIXAM,CROSSLINE,0.23076923076923078
AIXAM,CROSSLINE SUPER LUXE,0.0
AIXAM,CROSSLINE SUPER LUXE D CVT,0.5
AIXAM,CROSSOVER GT D CVT,0.5
AIXAM,CROSSOVER GTR CVT,0.0
AIXAM,MEGA,0.0
AIXAM,MEGA MULTITRUCK 600D L A,0.5
AJP,PR3,0.0
AJP,PR4,0.0
AJP,UNCLASSIFIED,0.0
AJS,CADWELL,0.25
AJS,DD,0.25
AJS,DD 125 E,0.0
AJS,DD 125 E 08,0.0
AJS,DD 125 E-5,0.0
AJS,DD 125 E-5C DAYTONA 125,0.0
AJS,DD125,0.0
AJS,DIGITA,0.14285714285714285
AJS,FIREFOX,0.1111111111111111
AJS,FLIGHT,0.0
AJS,HIGHWAY STAR,0.0
AJS,INSETTO,0.0
AJS,ISABA,0.0
AJS,JS,0.3333333333333333
AJS,JS 125-E,0.2
AJS,JS 125-E2,0.25
AJS,JS125,0.0
AJS,JSM,0.5
AJS,MODENA 125,0.07692307692307693
AJS,SCRAMBLER 125,0.3333333333333333
AJS,TEMPEST SCRAMBLER,0.0
AJS,UNCLASSIFIED,0.0
AJS,XGJ,0.0
AJS,ZN,0.0
AJS,modena,0.25806451612903225
AK SPORTSCARDS,COBRA,0.0
ALDOM,GTR,0.0
ALEXANDER DENNIS,DART,0.5
ALEXANDER DENNIS,UNCLASSIFIED,0.09090909090909091
ALFA ROMEO,145,0.0
ALFA ROMEO,146,0.25
ALFA ROMEO,147,0.3358208955223881
ALFA ROMEO,155,0.0
ALFA ROMEO,156,0.30701754385964913
ALFA ROMEO,159,0.3154034229828851
ALFA ROMEO,164,0.3333333333333333
ALFA ROMEO,166,0.34782608695652173
ALFA ROMEO,33,0.0
ALFA ROMEO,4C,0.05263157894736842
ALFA ROMEO,75,0.0
ALFA ROMEO,8C,0.0
ALFA ROMEO,BRERA,0.2907801418439716
ALFA ROMEO,GIULIA,0.12433392539964476
ALFA ROMEO,GIULIA LUSSO TI TD AUTO,0.0
ALFA ROMEO,GIULIA SPRINT TB AUTO,0.3333333333333333
ALFA ROMEO,GIULIA SPRINT TD AUTO,0.0
ALFA ROMEO,GIULIA VELOCE TB AUTO,0.0
ALFA ROMEO,GIULIETTA,0.21881149153876425
ALFA ROMEO,GIULIETTA SPRINT JTDM-2 S-A,0.5
ALFA ROMEO,GIULIETTA SPRINT TB,0.125
